id,player,team,opp,pos,salary,proj
15033483,Christian McCaffrey,CAR,LV,RB,10000,28.1
15033485,Dalvin Cook,MIN,GB,RB,7900,22.4
15033487,Alvin Kamara,NO,TB,RB,7200,20.8
15033803,Davante Adams,GB,MIN,WR,7300,20.4
15033799,Michael Thomas,NO,TB,WR,9000,23.6
15033541,Boston Scott,PHI,WAS,RB,4800,15.3
15034307,George Kittle,SF,ARI,TE,7200,20.1
15033847,Terry McLaurin,WAS,PHI,WR,5600,16.5
15033811,Adam Thielen,MIN,GB,WR,6700,18.6
15033805,Chris Godwin,TB,NO,WR,7100,19.4
15033851,Marvin Jones Jr.,DET,CHI,WR,5500,16
15033801,Julio Jones,ATL,SEA,WR,7700,20.2
15033861,Marquise Brown,BAL,CLE,WR,5100,15.1
15033493,Josh Jacobs,LV,CAR,RB,6800,18.5
15033841,T.Y. Hilton,IND,JAX,WR,5800,16.3
15033407,Cam Newton,NE,MIA,QB,6100,20.8
15033827,Calvin Ridley,ATL,SEA,WR,6100,16.7
15034309,Mark Andrews,BAL,CLE,TE,6000,16.5
15033416,Tyrod Taylor,LAC,CIN,QB,5600,18.9
15033397,Lamar Jackson,BAL,CLE,QB,8100,26.3
15033401,Josh Allen,BUF,NYJ,QB,6500,21.4
15034313,Zach Ertz,PHI,WAS,TE,5800,15.8
15034597,Patriots ,NE,MIA,DST,3200,9.7
15033400,Matt Ryan,ATL,SEA,QB,6700,21.9
15033839,DK Metcalf,SEA,ATL,WR,5800,15.7
15033495,Joe Mixon,CIN,LAC,RB,6700,17.4
15033489,Austin Ekeler,LAC,CIN,RB,7000,18
15033505,Todd Gurley II,ATL,SEA,RB,6100,16.1
15034363,Chris Herndon,NYJ,BUF,TE,3300,10.5
15033413,Jimmy Garoppolo,SF,ARI,QB,5800,18.9
15033817,Tyler Lockett,SEA,ATL,WR,6500,16.6
15033813,DJ Moore,CAR,LV,WR,6600,16.8
15033420,Mitchell Trubisky,CHI,DET,QB,5400,17.3
15033595,Antonio Gibson,WAS,PHI,RB,4000,11.4
15033398,Russell Wilson,SEA,ATL,QB,7000,22
15034327,T.J. Hockenson,DET,CHI,TE,4200,11.6
15033430,Dwayne Haskins Jr.,WAS,PHI,QB,5000,15.7
15034602,Lions ,DET,CHI,DST,2700,7.4
15034615,Dolphins ,MIA,NE,DST,2000,6.1
15034616,WAS Football Team ,WAS,PHI,DST,2000,6.1
15033835,Odell Beckham Jr.,CLE,BAL,WR,5900,14.7
15034601,Chargers ,LAC,CIN,DST,2800,7.6
15034613,Jets ,NYJ,BUF,DST,2100,6.2
15034594,Eagles ,PHI,WAS,DST,3600,9.2
15033399,Drew Brees,NO,TB,QB,6800,20.9
15033405,Carson Wentz,PHI,WAS,QB,6300,19.4
15034598,Ravens ,BAL,CLE,DST,3100,8.1
15034593,Bills ,BUF,NYJ,DST,3700,9.2
15034603,Raiders ,LV,CAR,DST,2600,7
15033415,Kirk Cousins,MIN,GB,QB,5700,17.4
15033873,DeSean Jackson,PHI,WAS,WR,4900,12.4
15033402,Tom Brady,TB,NO,QB,6500,19.8
15033412,Gardner Minshew II,JAX,IND,QB,5800,17.6
15033409,Teddy Bridgewater,CAR,LV,QB,5900,17.7
15033408,Philip Rivers,IND,JAX,QB,6000,18
15034325,Hayden Hurst,ATL,SEA,TE,4300,10.8
15033821,Stefon Diggs,BUF,NYJ,WR,6400,14.9
15033404,Aaron Rodgers,GB,MIN,QB,6300,18.8
15033823,DJ Chark Jr.,JAX,IND,WR,6300,14.7
15033521,Devin Singletary,BUF,NYJ,RB,5400,12.9
15034311,Darren Waller,LV,CAR,TE,5900,13.8
15034599,Colts ,IND,JAX,DST,3000,7.2
15034608,Seahawks ,SEA,ATL,DST,2400,5.9
15033403,Kyler Murray,ARI,SF,QB,6400,18.9
15033809,DeAndre Hopkins,ARI,SF,WR,6800,15.5
15033499,Kenyan Drake,ARI,SF,RB,6400,14.7
15033815,Allen Robinson II,CHI,DET,WR,6500,14.9
15033410,Derek Carr,LV,CAR,QB,5900,17.3
15033831,Julian Edelman,NE,MIA,WR,6000,13.9
15034606,Vikings ,MIN,GB,DST,2500,6
15034607,Saints ,NO,TB,DST,2400,5.8
15033865,Christian Kirk,ARI,SF,WR,5000,11.8
15033406,Matthew Stafford,DET,CHI,QB,6200,18.1
15034329,Dallas Goedert,PHI,WAS,TE,4100,10.1
15033503,Chris Carson,SEA,ATL,RB,6200,14.2
15034614,Cardinals ,ARI,SF,DST,2100,5.1
15033519,Mark Ingram II,BAL,CLE,RB,5500,12.7
15033491,Aaron Jones,GB,MIN,RB,6900,15.4
15033422,Ryan Fitzpatrick,MIA,NE,QB,5300,15.2
15033859,Jamison Crowder,NYJ,BUF,WR,5200,12
15033513,Raheem Mostert,SF,ARI,RB,5800,13.1
15034407,Logan Thomas,WAS,PHI,TE,2800,7.1
15033875,Allen Lazard,GB,MIN,WR,4900,11.2
15033785,James Robinson,JAX,IND,RB,4000,9.4
15033907,N'Keal Harry,NE,MIA,WR,4400,10.2
15034600,Bengals ,CIN,LAC,DST,2900,6.2
15034361,Ian Thomas,CAR,LV,TE,3400,8.1
15034610,Jaguars ,JAX,IND,DST,2300,5
15034595,49ers ,SF,ARI,DST,3500,7.4
15033887,Robby Anderson,CAR,LV,WR,4700,10.6
15033527,Kareem Hunt,CLE,BAL,RB,5100,11.4
15034377,Irv Smith Jr.,MIN,GB,TE,3100,7.4
15034013,Dontrelle Inman,WAS,PHI,WR,3400,8.1
15034609,Falcons ,ATL,SEA,DST,2300,4.9
15033515,Jonathan Taylor,IND,JAX,RB,5700,12.5
15033959,Parris Campbell,IND,JAX,WR,3900,8.9
15034365,Tyler Eifert,JAX,IND,TE,3300,7.7
15033829,Tyler Boyd,CIN,LAC,WR,6100,13.2
15033414,Baker Mayfield,CLE,BAL,QB,5700,15.8
15033837,Jarvis Landry,CLE,BAL,WR,5900,12.8
15033833,DeVante Parker,MIA,NE,WR,6000,13
15033525,Ronald Jones II,TB,NO,RB,5200,11.4
15034341,O.J. Howard,TB,NO,TE,3700,8.4
15033889,Curtis Samuel,CAR,LV,WR,4600,10.1
15033863,Henry Ruggs III,LV,CAR,WR,5100,11.1
15034596,Bears ,CHI,DET,DST,3300,6.5
15033411,Joe Burrow,CIN,LAC,QB,5800,15.9
15033523,Marlon Mack,IND,JAX,RB,5300,11.4
15034347,Jack Doyle,IND,JAX,TE,3600,8.1
